,Unnamed: 0,word,English
0,0,Ich,I
1,1,ist,is
2,2,ich,I
3,3,nicht,Not
4,4,Sie,you
5,5,du,you
6,6,das,the
7,7,die,the
8,8,es,it
9,9,und,and
10,10,der,the
11,11,zu,to
12,12,sie,you
13,13,Das,The
14,14,ein,one
15,15,in,in
16,16,wir,we
17,17,Du,You
18,18,mir,me
19,19,mit,With
20,20,Was,What
21,21,den,the
22,22,mich,me
23,23,was,What
24,24,auf,on
25,25,dass,that
26,26,er,he
27,27,eine,a
28,28,Es,It
29,29,hat,Has
30,30,Wir,We
31,31,Und,And
32,32,so,so
33,33,sind,are
34,34,von,from
35,35,dich,you
36,36,war,was
37,37,haben,to have
38,38,für,For
39,39,Ja,Yes
40,40,hier,here
41,41,an,at
42,42,habe,have
43,43,Er,He
44,44,bin,am
45,45,wie,as
46,46,noch,yet
47,47,dir,to you
48,48,uns,us
49,49,sich,themselves
50,50,Die,The
51,51,nur,just
52,52,einen,one
53,53,Nein,No
54,54,dem,the
55,55,ihn,him
56,56,auch,also
57,57,hast,have
58,58,sein,his
59,59,ihr,her
60,60,da,there
61,61,aus,out
62,62,kann,can
63,63,aber,but
64,64,Aber,But
65,65,schon,beautiful
66,66,wenn,if
67,67,wird,becomes
68,68,um,around
69,69,Wie,As
70,70,als,as
71,71,bist,are
72,72,im,in the
73,73,mal,times
74,74,doch,but
75,75,gut,Well
76,76,meine,my
77,77,jetzt,now
78,78,weiß,White
79,79,Wenn,If
80,80,werden,will
81,81,Der,The
82,82,nach,after
83,83,ja,Yes
84,84,Oh,Oh
85,85,oder,or
86,86,dann,then
87,87,will,want
88,88,mein,my
89,89,mehr,more
90,90,keine,no
91,91,etwas,something
92,92,alles,everything
93,93,muss,got to
94,94,immer,always
95,95,nichts,Nothing
96,96,man,you
97,97,wieder,again
98,98,bei,at
99,99,hab,hab
100,100,machen,do
101,101,vor,in front
102,102,Mann,man
103,103,ihm,him
104,104,einem,one
105,105,tun,to do
106,106,zum,to the
